titulo_documento_origem,titulo_documento_destino,Recomendacoes
Bariloche - Cerro Tronador e Cascada los Alerces,Província Cisplatina,2
Parque Nacional Lanín - Passeando entre Lagos e o Vulcão Lanín,Províncias Unidas do Rio da Prata,6
Revelando a Foto - Igreja São Francisco de Assis em Diamantina,Províncias Unidas do Rio da Prata,4
Bariloche - Cerro Campanario,Províncias Unidas do Rio da Prata,3
Belo Horizonte - Mirante do Mangabeiras,Províncias Unidas do Rio da Prata,2
Frutillar - Um Pedaço da Alemanha no Chile,Províncias Unidas do Rio da Prata,2
Alasca - Vida Selvagem no Denali National Park and Preserve,Províncias da Nova Zelândia,8
Parque Nacional Lanín - Passeando entre Lagos e o Vulcão Lanín,Províncias da Nova Zelândia,6
"Cachoeira da Maçã, Bela Surpresa da Cabeça de Boi",Províncias da Nova Zelândia,4
El Chalten - Trilha para a Laguna del Diablo,Províncias da Nova Zelândia,2
El Chaltén - Trilha para Laguna de los Tres,Províncias da Nova Zelândia,2
Bariloche - Centro Cívico,Províncias do Chile,8
Belo Horizonte - Degustação de Sorvetes na Alessa,Províncias do Chile,8
Campinas - Passeio de Maria Fumaça,Províncias do Chile,6
Santiago - Cerro San Cristóbal,Províncias do Chile,6
Santiago - Vinícola Concha y Toro,Províncias do Chile,6
Revelando a Foto - Snake River Overlook,Prudhoe Bay,8
Revelando a Foto - Pôr do sol na Praia da Conceição,Prudhoe Bay,6
Revelando a Foto - Mount Moran,Prudhoe Bay,4
Revelando a Foto - Paisagem da Alaska Railroad,Prudhoe Bay,4
Revelando a Foto - Blue Pools,Prudhoe Bay,2
Atacama - Geisers Del Tatio,Pré-cordilheira,2
Atacama - Salar de Tara,Pré-cordilheira,2
Barreirinhas - Restaurante Barlavento,Pré-cordilheira,1
Chapada dos Guimarães - Pousada Casa da Quineira,Pré-cordilheira,1
Chile - Não Durma no Voo,Pré-cordilheira,1
Belo Horizonte - Visita ao Pátio Cervejeiro da Backer,Prêmio Indianápolis,21
Puerto Montt - Palafitos de Angelmó - Restaurante 15,Prêmio Indianápolis,17
Aparecida - Sala das Promessas,Prêmio Indianápolis,16
Vídeo - Episódio Laguna de Los Tres,Prêmio Indianápolis,12
São Luís - Conhecendo o São João do Maranhão,Prêmio Indianápolis,11
Revelando a Foto - Metropolitan,Prêmio Rodrigo Melo Franco de Andrade,3
Fernando de Noronha - Pousada del Mares,Prêmio Rodrigo Melo Franco de Andrade,2
Revelando a Foto - Namoradeira em Tiradentes,Prêmio Rodrigo Melo Franco de Andrade,2
#TchÊncontro - Encontro de Blogueiros em Porto Alegre,Prêmio Rodrigo Melo Franco de Andrade,1
Islândia - Como Dirigir,Prêmio Rodrigo Melo Franco de Andrade,1
Puerto Octay - Arquitetura Alemã e Vulcões,Puerto Aisén,10
Puerto Montt - Explorando a Região Portuária,Puerto Aisén,9
Frutillar - Um Pedaço da Alemanha no Chile,Puerto Aisén,6
"Puerto Varas - Verão, Calor e Vulcões",Puerto Aisén,6
Puerto Montt - Palafitos de Angelmó - Restaurante 9,Puerto Aisén,4
El Chaltén - Lago del Desierto e Glaciar Huemul,Puerto Belgrano,1
Revelando a Foto - Montserrat,Puerto Belgrano,1
Revelando a Foto - Vulcão Osorno,Puerto Belgrano,1
Vídeo - Episódio Casa da Quineira,Puerto Belgrano,1
"Vídeo Morro dos Ventos, Passeio na Chapada dos Guimarães",Puerto Belgrano,1
Patagônia - Roteiro,Puerto Natales,11
Circuito W - Pelo Lago Nordenskjold até Los Cuernos,Puerto Natales,10
Circuito W - Lago e Glaciar Grey,Puerto Natales,6
Circuito W - Vale Francês,Puerto Natales,6
El Chaltén - Lago del Desierto e Glaciar Huemul,Puerto Natales,6
Serra do Cipó - Trilha para Cachoeira da Farofa,Puna (ecorregião),4
Bariloche - Isla Victoria y Bosque de Arrayanes,Puna (ecorregião),2
Vídeo - Episódio Salar de Atacama,Puna atacamenha,19
Atacama - Tour do Vinho,Puna atacamenha,18
Vídeo - Episódio Hierbas Buenas e Valle del Arcoiris,Puna atacamenha,14
Atacama - Salar de Atacama,Puna atacamenha,9
Atacama - Valle del Arcoiris,Puna atacamenha,8
Atacama e Salar de Uyuni - Roteiro,Putana (vulcão),2
Atacama - Geisers Del Tatio,Putana (vulcão),1
Atacama - Tour do Vinho,Putana (vulcão),1
Blogagem Coletiva - Foto Jacu: Você ainda vai ter uma!,Putana (vulcão),1
Chapada dos Guimarães - Mirante do Centro Geodésico,Putana (vulcão),1
Revelando a Foto - Jokhang Temple em Lhasa,Pânico de 1890,4
São Luís - Teatro Arthur Azevedo,Pânico de 1890,3
Blogagem Coletiva - Cores de Viagem,Pânico de 1890,3
Revelando a Foto - Especial de Natal,Pânico de 1890,2
Revelando a Foto - Lake Powell,Pânico de 1890,2
Revelando a Foto - Central Park em NY,Pāua,3
Alasca - Denali Morning Hostel,Pāua,2
Bariloche - Restaurante La Lola,Pāua,2
Belo Horizonte - Lua Cheia no Museu 2013,Pāua,2
Revelando a Foto - Denali Park Road,Pāua,2
Revelando a Foto - Retrospectiva 2012,Quebrada das Conchas,12
Revelando a Foto - Monument Valley,Quebrada das Conchas,8
Revelando a Foto - Forrest Gump Point e Monument Valley,Quebrada das Conchas,6
Mandacaru - A Melhor Caipirinha de Caju,Quebrada das Conchas,3
Namíbia - Roteiro,Quebrada das Conchas,3
Frutillar - Um Pedaço da Alemanha no Chile,Queenstown,6
Puerto Octay - Arquitetura Alemã e Vulcões,Queenstown,4
Revelando a Foto - Government Gardens em Rotorua,Queenstown,4
Aplicativo - The Weather Channel - Previsão Meteorológica ,Queenstown,4
"Vídeo de Mariana, Minas Gerais",Queenstown,3
Revelando a Foto - Brasil x Chile na Copa,Questão de Palmas,5
Revelando a Foto - Moldura no Central Park,Questão de Palmas,4
Campinas - Passeio de Maria Fumaça,Questão de Palmas,2
Revelando a Foto - Government Gardens em Rotorua,Questão de Palmas,2
Revelando a Foto - Patagônia sem Filtro,Questão de Palmas,2
Curitiblogando 2017 - Encontro de Blogueiros de Viagem em Curitiba,Quillota (província),3
Curitiba - Hotel CWB Express,Quillota (província),2
Curitiba - Mercado Municipal,Quillota (província),2
Curitiba - Mercearia Bresser,Quillota (província),2
Curitiba - Vem Pro Abraço,Quillota (província),2
Revelando a Foto - Catedral de Barcelona,Quinta Vergara,1
Revelando a Foto - Monument Valley,Quinta Vergara,1
Revelando a Foto - Passeio no deserto de Dubai,Rakahanga,12
Barreirinhas - Passeio de Voadeira pelo Rio Preguiças,Rakahanga,11
Chapada dos Guimarães - Mirante do Centro Geodésico,Rakahanga,10
Revelando a Foto - Mirante do Centro Geodésico,Rakahanga,10
Revelando a Foto - Romance em Fernando de Noronha,Rakahanga,10
Vídeo - Episódio Chapada dos Guimarães,Ranco (província),7
"Vídeo Morro dos Ventos, Passeio na Chapada dos Guimarães",Ranco (província),7
"Vídeo da Ponta do Campestre, Chapada dos Guimarães",Ranco (província),7
Vídeo - Episódio Casa da Quineira,Ranco (província),5
Vídeo - Episódio Mirante do Centro Geodésico,Ranco (província),5
Revelando a Foto - Prédios em NY,Rangi e Papa,3
Praia do Rosa - Trilha para o Mirante do Canto Sul,Rangi e Papa,2
Revelando a Foto - Pescador na Praia Vermelha,Rangi e Papa,2
Santiago - Restaurante Fukai Sushi Lounge and Asian Bistro,Rangi e Papa,2
Mandacaru - Visitando o Farol Preguiças,Rangi e Papa,1
Santiago - Museu de Arte Pré-Colombiana Fechado para Reforma,Rebelião Mapuche de 1598,4
Revelando a Foto - Old Faithful Geyser,Rebelião Mapuche de 1598,3
Revelando a Foto - Opal Pool no Yellowstone,Rebelião Mapuche de 1598,3
Islândia - Como se Manter Conectado,Rebelião Mapuche de 1598,2
Revelando a Foto - Jokhang Temple em Lhasa,Rebelião Mapuche de 1598,2
Nova Zelândia - O Incrível Azul das Blue Pools,Recife Amazonas,6
Revelando a Foto - Glacier Point no Yosemite,Recife Amazonas,4
Bariloche - Cerro Campanario,Recife Amazonas,3
Frutillar - Museo Colonial Alemán,Recife Amazonas,2
#EncontroBSB - I Encontro de Blogueiros de Viagens em Brasília,Red Gate Woods,5
Blogs de Viagens,Red Gate Woods,5
Revelando a Foto - Blue Pools,Red Gate Woods,5
Revelando a Foto - Praia da Cacimba do Padre,Red Gate Woods,4
Revelando a Foto - Snake River Overlook,Red Gate Woods,4
Blogagem Coletiva - Cores de Viagem,Reforma Universitária de Córdoba,20
Bariloche - Um Hotel de Encher os Olhos,Reforma Universitária de Córdoba,7
Bariloche - Post Índice,Reforma Universitária de Córdoba,6
Puerto Varas - Iglesia del Sagrado Corazón de Jesus,Reforma Universitária de Córdoba,6
Barcelona - Parc Güell,Reforma Universitária de Córdoba,4
Revelando a Foto - Bear Lake State Tabernacle,Refúgio Nacional de Vida Silvestre Florida Panther,2
Revelando a Foto - Arches National Park,Refúgio Nacional de Vida Silvestre Florida Panther,1
Revelando a Foto - Flores no Epcot,Refúgio Nacional de Vida Silvestre Florida Panther,1
Revelando a Foto - Urso no Denali National Park,Refúgio Nacional de Vida Silvestre Florida Panther,1
Seward Highway - Alaska Wildlife Conservation Center,Refúgio Nacional de Vida Silvestre Florida Panther,1
Barreirinhas - Restaurante Barlavento,Refúgio de Vida Silvestre do Bugio,4
Caburé - Almoço na Pousada do Paulo,Refúgio de Vida Silvestre do Bugio,3
Parque Nacional Lanín - Navegando pelos Lagos Huechulafquen e Epulafquen,Refúgio de Vida Silvestre do Bugio,3
Blogs de Viagens,Refúgio de Vida Silvestre do Bugio,2
Fernando de Noronha - Pousada del Mares,Refúgio de Vida Silvestre do Bugio,2
Revelando a Foto - Retrospectiva 2012,Registro Nacional de Gravações,9
Washington DC - Hotel Capital Hilton,Registro Nacional de Gravações,9
São Luís - Post Índice,Registro Nacional de Gravações,9
Revelando a Foto - Copa do Mundo,Registro Nacional de Gravações,8
Barcelona - Curso de Fotografia ,Registro Nacional de Gravações,4
Kenai Fjords National Park - Trilha do Exit Glacier,Região Censitária de Nome,8
Revelando a Foto - Denali Park Road,Região Censitária de Nome,4
Revelando a Foto - Mount Moran,Região Censitária de Nome,3
Alasca - Visitando o Denali National Park and Preserve,Região Censitária de Nome,1
Chile - Não Durma no Voo,Região Censitária de Nome,1
Bariloche - Um Hotel de Encher os Olhos,Região Geográfica Imediata de Xanxerê,1
Barreirinhas - Restaurante Marina Tropical,Região Geográfica Imediata de Xanxerê,1
Do Chile a Argentina sob Cinzas Vulcânicas,Região Geográfica Imediata de Xanxerê,1
Jalapão - Canoagem no Rio Novo,Região Geográfica Imediata de Xanxerê,1
Jalapão - Passeio pelas Dunas,Região Geográfica Intermediária de Araguaína,1
Revelando a Foto - Barco no Lago Espejo Chico,Região Geográfica Intermediária de Araguaína,1
Revelando a Foto - Copa do Mundo,Região Geográfica Intermediária de Araguaína,1
Revelando a Foto - Prédios em NY,Região Geográfica Intermediária de Araguaína,1
Lençóis Maranhenses - Post Índice,Região Geográfica Intermediária de Barreiras,3
Barreirinhas - Passeio de Voadeira pelo Rio Preguiças,Região Geográfica Intermediária de Barreiras,2
Barreirinhas - Restaurante Marina Tropical,Região Geográfica Intermediária de Barreiras,2
Revelando a Foto - Barco no Lago Espejo Chico,Região Geográfica Intermediária de Belém,1
Revelando a Foto - Copa do Mundo,Região Geográfica Intermediária de Belém,1
Santiago - Bairro Paris-Londres,Região Geográfica Intermediária de Blumenau,2
Revelando a Foto - Vulcão Osorno,Região Geográfica Intermediária de Campinas,1
Santiago - Restaurante Fukai Sushi Lounge and Asian Bistro,Região Geográfica Intermediária de Caruaru,2
Mariana - Um Passeio Pela Cidade Histórica,Região Geográfica Intermediária de Caruaru,1
Belo Horizonte - Caminhada da Lua Cheia,Região Geográfica Intermediária de Castanhal,1
Belo Horizonte - Memorial Minas Gerais - Vale,Região Geográfica Intermediária de Castanhal,1
Hard Rock Hotel & Casino Punta Cana - Suíte Caribe,Região Geográfica Intermediária de Castanhal,1
Inhotim - Em Busca da Flor Cadáver,Região Geográfica Intermediária de Castanhal,1
Revelando a Foto - Outubro Rosa,Região Geográfica Intermediária de Castanhal,1
Revelando a Foto - Silhueta nos Lençóis Maranhenses,Região Geográfica Intermediária de Caxias,1
Revelando a Foto - Vassouras,Região Geográfica Intermediária de Caxias,1
Santiago - Bairro Paris-Londres,Região Geográfica Intermediária de Caçador,3
Belo Horizonte - Memorial Minas Gerais - Vale,Região Geográfica Intermediária de Caçador,2
Revelando a Foto - Dia das Crianças,Região Geográfica Intermediária de Caçador,2
Revelando a Foto - Romance em Fernando de Noronha,Região Geográfica Intermediária de Caçador,2
Revelando a Foto - Jokhang Temple em Lhasa,Região Geográfica Intermediária de Caçador,1
Revelando a Foto - Orca no Sea World,Região Geográfica Intermediária de Chapecó,2
Revelando a Foto - Parc Guell,Região Geográfica Intermediária de Chapecó,2
Revelando a Foto - Praia da Cacimba do Padre,Região Geográfica Intermediária de Corrente-Bom Jesus,1
Revelando a Foto - Romance em Fernando de Noronha,Região Geográfica Intermediária de Corrente-Bom Jesus,1
Santiago - Bairro Paris-Londres,Região Geográfica Intermediária de Criciúma,1
Fernando de Noronha - Ilha Tour,Região Geográfica Intermediária de Cruzeiro do Sul,1
Praia do Rosa - Pousada Vida Sol e Mar,Região Geográfica Intermediária de Cruzeiro do Sul,1
Praia do Rosa - Trilha para a Praia Vermelha,Região Geográfica Intermediária de Cruzeiro do Sul,1
Revelando a Foto - Dia das Crianças,Região Geográfica Intermediária de Cruzeiro do Sul,1
Revelando a Foto - Pescador na Praia Vermelha,Região Geográfica Intermediária de Cruzeiro do Sul,1
Chapada dos Guimarães - Mirante Morro dos Ventos,Região Geográfica Intermediária de Cuiabá,2
Chapada dos Guimarães - Mirante do Centro Geodésico,Região Geográfica Intermediária de Cuiabá,2
Chapada dos Guimarães - Pousada Casa da Quineira,Região Geográfica Intermediária de Cuiabá,2
"Ponta do Campestre, linda vista da Chapada dos Guimarães",Região Geográfica Intermediária de Cuiabá,2
Vídeo - Episódio Casa da Quineira,Região Geográfica Intermediária de Cuiabá,2
Inhotim - Em Busca da Flor Cadáver,Região Geográfica Intermediária de Cáceres,1
Praia do Rosa - Trilha para a Praia Vermelha,Região Geográfica Intermediária de Florianópolis,7
Fernando de Noronha - Ilha Tour,Região Geográfica Intermediária de Florianópolis,6
Livro - Papo de Viagem & Outras Histórias de Bar,Região Geográfica Intermediária de Florianópolis,5
Praia do Rosa - Pousada Vida Sol e Mar,Região Geográfica Intermediária de Florianópolis,5
Fernando de Noronha - Pousada del Mares,Região Geográfica Intermediária de Florianópolis,4
Revelando a Foto - Capela das Velas em Aparecida,Região Geográfica Intermediária de Goiânia,1
Revelando a Foto - Outubro Rosa,Região Geográfica Intermediária de Guanambi,1
Fernando de Noronha - Pousada del Mares,Região Geográfica Intermediária de Gurupi,2
Belo Horizonte - Memorial Minas Gerais - Vale,Região Geográfica Intermediária de Ilhéus-Itabuna,2
Inhotim - Em Busca da Flor Cadáver,Região Geográfica Intermediária de Ilhéus-Itabuna,2
Revelando a Foto - Macrofotografia em Itacaré,Região Geográfica Intermediária de Ilhéus-Itabuna,2
Revelando a Foto - Moldura da Praia do Sancho,Região Geográfica Intermediária de Imperatriz,2
Revelando a Foto - Praia da Cacimba do Padre,Região Geográfica Intermediária de Imperatriz,2
"Vídeo de Mariana, Minas Gerais",Região Geográfica Intermediária de Imperatriz,2
Tiradentes e São João Del Rei em 50mm,Região Geográfica Intermediária de Imperatriz,1
Revelando a Foto - Detalhes em Caeté,Região Geográfica Intermediária de Irecê,1
Revelando a Foto - Macrofotografia em Itacaré,Região Geográfica Intermediária de Irecê,1
Revelando a Foto - Prédios em NY,Região Geográfica Intermediária de Itumbiara,2
Livro - Papo de Viagem & Outras Histórias de Bar,Região Geográfica Intermediária de Joinville,4
Praia do Rosa - Pousada Vida Sol e Mar,Região Geográfica Intermediária de Joinville,1
Revelando a Foto - Orca no Sea World,Região Geográfica Intermediária de Joinville,1
Revelando a Foto - Pescador na Praia Vermelha,Região Geográfica Intermediária de Joinville,1
Revelando a Foto - Dia das Crianças,Região Geográfica Intermediária de João Pessoa,2
Vídeo - Episódio Maria Fumaça em Campinas,Região Geográfica Intermediária de João Pessoa,2
Curitiblogando 2017 - Encontro de Blogueiros de Viagem em Curitiba,Região Geográfica Intermediária de João Pessoa,1
Tour Comida de Boteco - Passeio em Curitiba,Região Geográfica Intermediária de João Pessoa,1
Tiradentes - Loja Imperial Pewter,Região Geográfica Intermediária de João Pessoa,1
Revelando a Foto - Grand Prismatic Spring,Região Geográfica Intermediária de Lages,2
Revelando a Foto - Barco no Lago Espejo Chico,Região Geográfica Intermediária de Lages,1
Revelando a Foto - Copa do Mundo,Região Geográfica Intermediária de Lages,1
"Vídeo de Mariana, Minas Gerais",Região Geográfica Intermediária de Lages,1
Frutillar - Em Preto e Branco,Região Geográfica Intermediária de Luziânia-Águas Lindas de Goiás,1
Vídeo - Episódio Mirante do Centro Geodésico,Região Geográfica Intermediária de Luziânia-Águas Lindas de Goiás,1
Revelando a Foto - Bear Lake State Tabernacle,Região Geográfica Intermediária de Macapá,2
Revelando a Foto - Copa do Mundo,Região Geográfica Intermediária de Marabá,2
Jalapão - Passeio pelas Dunas,Região Geográfica Intermediária de Marabá,1
Revelando a Foto - Barco no Lago Espejo Chico,Região Geográfica Intermediária de Marabá,1
Revelando a Foto - Orca no Sea World,Região Geográfica Intermediária de Marabá,1
Revelando a Foto - Romance em Fernando de Noronha,Região Geográfica Intermediária de Mossoró,2
Vídeo - Episódio Casa da Quineira,Região Geográfica Intermediária de Mossoró,1
Vídeo - Episódio Maria Fumaça em Campinas,Região Geográfica Intermediária de Natal,2
Blogagem Coletiva - Foto Jacu: Você ainda vai ter uma!,Região Geográfica Intermediária de Oiapoque-Porto Grande,1
Revelando a Foto - Pôr do Sol na Ilha da Canela,Região Geográfica Intermediária de Palmas,1
Revelando a Foto - Prédios em NY,Região Geográfica Intermediária de Porangatu-Uruaçu,1
Revelando a Foto - Praia da Cacimba do Padre,Região Geográfica Intermediária de Porto Velho,2
Revelando a Foto - Pássaro em San Francisco,Região Geográfica Intermediária de Porto Velho,2
Revelando a Foto - Pôr do Sol na Ilha da Canela,Região Geográfica Intermediária de Porto Velho,1
Revele Sua Foto - Pôr do Sol em Jericoacoara,Região Geográfica Intermediária de Porto Velho,1
São Luís - Centro de Cultura Popular Domingos Vieira Filho,Região Geográfica Intermediária de Porto Velho,1
Santiago - Restaurante Fukai Sushi Lounge and Asian Bistro,Região Geográfica Intermediária de Presidente Dutra,4
Catas Altas - Um Passeio Pela Cidade e Região,Região Geográfica Intermediária de Presidente Dutra,2
Tiradentes e São João Del Rei em 50mm,Região Geográfica Intermediária de Presidente Dutra,2
Revelando a Foto - Dia das Crianças,Região Geográfica Intermediária de Presidente Dutra,1
Revele Sua Foto - Pôr do Sol em Jericoacoara,Região Geográfica Intermediária de Presidente Dutra,1
Revelando a Foto - Capela das Velas em Aparecida,Região Geográfica Intermediária de Rio Branco,1
Caburé - Passeando entre o Rio e o Mar,Região Geográfica Intermediária de Santa Inês-Bacabal,2
Cardosa - Flutuação no Rio Formiga,Região Geográfica Intermediária de Santa Inês-Bacabal,2
Belo Horizonte - Memorial Minas Gerais - Vale,Região Geográfica Intermediária de Santa Inês-Bacabal,1
Revelando a Foto - Barco no Lago Espejo Chico,Região Geográfica Intermediária de Santarém,2
Revelando a Foto - Copa do Mundo,Região Geográfica Intermediária de Santarém,2
Revelando a Foto - Namoradeira em Tiradentes,Região Geográfica Intermediária de Santo Antônio de Jesus,4
Barcelona - Curso de Fotografia ,Região Geográfica Intermediária de Santo Antônio de Jesus,2
Bariloche - Cervejaria Antares,Região Geográfica Intermediária de Santo Antônio de Jesus,2
Mandacaru - Visitando o Farol Preguiças,Região Geográfica Intermediária de Santo Antônio de Jesus,2
Revelando a Foto - Pássaro em San Francisco,Região Geográfica Intermediária de Santo Antônio de Jesus,2
Belo Horizonte - Caminhada da Lua Cheia,Região Geográfica Intermediária de Sinop,2
Belo Horizonte - Memorial Minas Gerais - Vale,Região Geográfica Intermediária de Sinop,1
Belo Horizonte - Memorial Minas Gerais - Vale,Região Geográfica Intermediária de Sorocaba,2
Inhotim - Em Busca da Flor Cadáver,Região Geográfica Intermediária de Sorocaba,1
Revelando a Foto - Capela das Velas em Aparecida,Região Geográfica Intermediária de Sorocaba,1
Revelando a Foto - Macrofotografia em Itacaré,Região Geográfica Intermediária de Sorocaba,1
Curitiba - Passeio pelo Centro Histórico,Região Geográfica Intermediária de São José do Rio Preto,9
Tiradentes - Festival de Fotografia 2013,Região Geográfica Intermediária de São José do Rio Preto,2
Revelando a Foto - Cotidiano em Tiradentes,Região Geográfica Intermediária de São José do Rio Preto,1
Revelando a Foto - Igrejas em Mariana,Região Geográfica Intermediária de São José do Rio Preto,1
Revelando a Foto - Matriz de Santo Antônio,Região Geográfica Intermediária de São José do Rio Preto,1
São Luís - Post Índice,Região Geográfica Intermediária de São Luís,22
São Luís - Centro Histórico em Festa,Região Geográfica Intermediária de São Luís,9
Revelando a Foto - Silhueta nos Lençóis Maranhenses,Região Geográfica Intermediária de São Luís,8
Vassouras - Pequenos Lençóis,Região Geográfica Intermediária de São Luís,6
Vassouras - Lar dos Macacos-Prego,Região Geográfica Intermediária de São Luís,5
Curitiba - Passeio pelo Centro Histórico,Região Geográfica Intermediária de São Luís de Montes Belos-Iporá,1
Tiradentes - Loja Imperial Pewter,Região Geográfica Intermediária de São Luís de Montes Belos-Iporá,1
Barcelona - Mercat de la Boqueria,Região Geográfica Intermediária de São Paulo,2
Bariloche - Centro Cívico,Região Geográfica Intermediária de São Paulo,2
Belo Horizonte - Degustação de Sorvetes na Alessa,Região Geográfica Intermediária de São Paulo,2
Revelando a Foto - Praça Minas Gerais em Mariana,Região Geográfica Intermediária de São Paulo,2
Revelando a Foto - Roda Gigante em BH,Região Geográfica Intermediária de São Paulo,2
Fernando de Noronha - Ilha Tour,Região Geográfica Intermediária de São Raimundo Nonato,1
Puerto Montt - Diversão para as Crianças,Região Geográfica Intermediária de Tefé,1
Inhotim - Em Busca da Flor Cadáver,Região Geográfica Intermediária de Vitória da Conquista,2
São Luís - Centro Histórico em Festa,Região Geográfica Intermediária de Vitória da Conquista,2
"Vídeo de Mariana, Minas Gerais",Região Geográfica Intermediária de Vitória da Conquista,2
Hard Rock Hotel & Casino Punta Cana - Suíte Caribe,Região Geográfica Intermediária de Vitória da Conquista,1
Vídeo - Episódio Hard Rock Hotel & Casino Punta Cana,Região Geográfica Intermediária de Vitória da Conquista,1
Belo Horizonte - Caminhada da Lua Cheia,Região Geográfica Intermediária do Recife,1
Revelando a Foto - Praia da Cacimba do Padre,Região Geográfica Intermediária do Recife,1
Bariloche - Cerro Campanario,Região Geográfica Intermediária do Rio de Janeiro,1
Caburé - Almoço na Pousada do Paulo,Região Leste Centro-Norte dos Estados Unidos,1
Livro - Papo de Viagem & Outras Histórias de Bar,Região Leste Centro-Norte dos Estados Unidos,1
Revelando a Foto - Lago Meliquina,Região Leste Centro-Norte dos Estados Unidos,1
El Chalten - Trilha para a Laguna del Diablo,Região Metropolitana de Fargo-Moorhead,2
Alasca - Denali Morning Hostel,Região Metropolitana de Fargo-Moorhead,1
Chile - Não Durma no Voo,Região Metropolitana de Fargo-Moorhead,1
Revelando a Foto - Bear Lake State Tabernacle,Região Metropolitana de Fargo-Moorhead,1
Revelando a Foto - Central Park em NY,Região Metropolitana de Fargo-Moorhead,1
Barcelona - Bicing,Região Metropolitana de Rancagua,8
Revelando a Foto - Bear Lake State Tabernacle,Região Metropolitana de Rancagua,8
Revelando a Foto - Estrada em Paineiras,Região Metropolitana de Rancagua,7
Revelando a Foto - Matriz de Santo Antônio,Região Metropolitana de Rancagua,6
Revelando a Foto - Capela das Velas em Aparecida,Região Metropolitana de Rancagua,5
Blogagem Coletiva - Cores de Viagem,Região Norte Grande Argentino,1
Revelando a Foto - Glacier Point no Yosemite,Região Norte Grande Argentino,1
Caeté - Serra da Piedade,Região Oeste Centro-Norte dos Estados Unidos,3
Revelando a Foto - Prédios em NY,Região Oeste Centro-Norte dos Estados Unidos,2
Revelando a Foto - Vista Aérea do Grand Canyon,Região Oeste Centro-Norte dos Estados Unidos,2
Bariloche - Catedral Nuestra Señora del Nahuel Huapi,Região Oeste Centro-Norte dos Estados Unidos,1
Islândia - Roteiro,Região Oeste Centro-Norte dos Estados Unidos,1
Revelando a Foto - Igreja Nossa Senhora do Carmo,Região das Serras Centrais,3
Jalapão - Um Refresco para o Calor,Região das Serras Centrais,2
Aplicativo - The Weather Channel - Previsão Meteorológica ,Região das Serras Centrais,1
Islândia - Como se Manter Conectado,Região das Serras Centrais,1
Quando ir para a Islândia,Região das Serras Centrais,1
Revelando a Foto - Mesa Arch,Região das Águas Grandes,2
Jalapão - Um Refresco para o Calor,Região das Águas Grandes,1
Revelando a Foto - Frutillar,Região das Águas Grandes,1
Chapada dos Guimarães - Pousada Casa da Quineira,Região do Trairi,10
Caburé - Almoço na Pousada do Paulo,Região do Trairi,6
Curitiba - Passeio pelo Centro Histórico,Região do Trairi,4
"Ponta do Campestre, linda vista da Chapada dos Guimarães",Região do Trairi,4
Revelando a Foto - Amanhecer em Morada Nova de Minas,Região do Trairi,4
Revelando a Foto - Old Faithful Geyser,Região dos Abrolhos,2
Revelando a Foto - Passeio no deserto de Dubai,Região dos Abrolhos,2
Vassouras - Lar dos Macacos-Prego,Região dos Abrolhos,2
Puerto Montt - Palafitos de Angelmó - Restaurante 9,Região dos Abrolhos,1
Revelando a Foto - Yellowstone National Park,Região dos Abrolhos,1
Jalapão - Trilha para Prainha da Korubo,Região integrada de desenvolvimento,11
Jalapão - Trilha na Serra do Espírito Santo,Região integrada de desenvolvimento,9
Jalapão - Alimentação,Região integrada de desenvolvimento,8
Jalapão - Cachoeira da Formiga,Região integrada de desenvolvimento,8
"Puerto Varas - Restaurante, Cafeteria e Chocolateria Cassis",Região integrada de desenvolvimento,8
Santiago - Museu de Arte Pré-Colombiana Fechado para Reforma,Regiões da Argentina,31
Bariloche - Um Hotel de Encher os Olhos,Regiões da Argentina,14
Revelando a Foto - Antelope Canyon,Regiões da Argentina,8
Bariloche - Centro Cívico,Regiões da Argentina,6
Alasca - Denali Morning Hostel,Regiões da Argentina,5
Revelando a Foto - Denali Park Road,Regiões da Nova Zelândia,8
Santiago - Restaurante Backstage Experience,Regiões da Nova Zelândia,5
Fernando de Noronha - Pousada del Mares,Regiões da Nova Zelândia,5
Blogagem Coletiva - Cores de Viagem,Regiões da Nova Zelândia,3
Revelando a Foto - Flores no Epcot,Regiões da Nova Zelândia,3
Santiago - Post índice,Regiões do Chile,6
Frutillar - Cidade Musical,Regiões do Chile,4
Revelando a Foto - Paisagem da Alaska Railroad,Regiões do Chile,4
Revelando a Foto - Escadas da Sagrada Família,Regiões do Chile,2
Revelando a Foto - Igreja Nossa Senhora do Carmo,Regiões do Chile,2
Revelando a Foto - Ninho do Pássaro,Reino Māori,7
Barreirinhas - Restaurante Barlavento,Reino Māori,6
Circuito W - Lago e Glaciar Grey,Reino Māori,6
Revelando a Foto - Mirante do Centro Geodésico,Reino Māori,6
Revelando a Foto - Patagônia sem Filtro,Reino Māori,6
Revelando a Foto - Central Park em NY,Reino da Araucânia e Patagônia,4
Revelando a Foto - Seward Highway,Reino da Araucânia e Patagônia,2
El Chalten - Trilha para a Laguna del Diablo,Reino da Araucânia e Patagônia,1
Jalapão - Trilha na Serra do Espírito Santo,Reino da Araucânia e Patagônia,1
Revelando a Foto - Paisagem da Alaska Railroad,Reino da Araucânia e Patagônia,1
Santa Catarina na Bagagem e a Praia do Rosa,Relevo do Brasil,6
Valle Nevado Ski Resort - Conhecendo a Estação de Esqui,Relevo do Brasil,5
